GDP,GDP - per capita,GDP - real growth rate(%),HIV/AIDS - adult prevalence rate(%),HIV/AIDS - deaths,HIV/AIDS - people living with HIV/AIDS,Highways(km),Imports,Industrial production growth rate(%)
21500000000.0,800.0,7.5,0.01,,,21000.0,3759000000.0,
,,,,,,,,
17460000000.0,4900.0,5.6,,,,18000.0,2076000000.0,3.1
212300000000.0,6600.0,6.1,0.1,500.0,9100.0,104000.0,15250000000.0,6.0
500000000.0,8000.0,,,,,185.0,123000000.0,
1900000000.0,26800.0,2.0,,,,269.0,1077000000.0,
23170000000.0,2100.0,11.7,3.9,21000.0,240000.0,51429.0,4896000000.0,1.0
112000000.0,7500.0,2.8,,,,105.0,80900000.0,3.1
,,,,,,,,
750000000.0,11000.0,3.0,,,,250.0,692000000.0,6.0
483500000000.0,12400.0,8.3,0.7,1500.0,130000.0,215471.0,22060000000.0,12.0
13650000000.0,4600.0,9.0,0.1,200.0,2600.0,8431.0,1300000000.0,15.0
1940000000.0,28000.0,-1.5,,,,800.0,841000000.0,
,,,,,,,,
611700000000.0,30700.0,3.5,0.1,,14000.0,811603.0,98100000000.0,1.9
255900000000.0,31300.0,1.9,0.3,100.0,10000.0,200000.0,101200000000.0,3.3
30010000000.0,3800.0,9.8,0.1,100.0,1400.0,28030.0,3622000000.0,4.0
5295000000.0,17700.0,3.0,3.0,200.0,5600.0,2693.0,1630000000.0,
13010000000.0,19200.0,5.6,0.2,200.0,600.0,3459.0,5870000000.0,2.0
,,,,,,,,
275700000000.0,2000.0,4.9,0.1,650.0,13000.0,207486.0,10030000000.0,6.5
4569000000.0,16400.0,2.3,1.5,200.0,2500.0,1600.0,1039000000.0,-3.2
,,,,,,,,
70500000000.0,6800.0,6.4,0.3,1000.0,15000.0,79990.0,13570000000.0,4.0
316200000000.0,30600.0,2.6,0.2,100.0,10000.0,149028.0,235000000000.0,3.5
1778000000.0,6500.0,3.5,2.4,,3600.0,2872.0,579900000.0,4.6
8338000000.0,1200.0,5.0,1.9,5800.0,68000.0,6787.0,934500000.0,8.3
2330000000.0,36000.0,2.0,,,,450.0,5523000000.0,
2900000000.0,1400.0,5.3,0.1,,100.0,4007.0,196000000.0,9.3
22330000000.0,2600.0,3.7,0.1,,4900.0,60282.0,1595000000.0,5.7
26210000000.0,6500.0,5.0,0.1,100.0,900.0,21846.0,5200000000.0,5.5
15050000000.0,9200.0,3.5,37.3,33000.0,350000.0,10217.0,2255000000.0,4.4
,,,,,,,,
1492000000000.0,8100.0,5.1,0.7,15000.0,660000.0,1724929.0,61000000000.0,6.0
,,,,,,,,
2498000000.0,38500.0,1.0,,,,177.0,187000000.0,
6842000000.0,23600.0,3.2,0.1,200.0,200.0,2525.0,5200000000.0,5.0
61630000000.0,8200.0,5.3,0.1,100.0,346.0,37077.0,12230000000.0,5.2
15740000000.0,1200.0,4.8,4.2,29000.0,300000.0,12506.0,866300000.0,14.0
74300000000.0,1700.0,-1.3,1.2,20000.0,330000.0,28200.0,1754000000.0,
4001000000.0,600.0,3.0,6.0,25000.0,250000.0,14480.0,138200000.0,18.0
26990000000.0,2000.0,5.4,2.6,15000.0,170000.0,12323.0,3129000000.0,22.0
30170000000.0,1900.0,4.9,6.9,49000.0,560000.0,34300.0,1979000000.0,4.2
1023000000000.0,31500.0,2.4,0.3,1500.0,56000.0,1408800.0,256100000000.0,2.0
600000000.0,1400.0,5.0,0.04,225.0,775.0,1100.0,387300000.0,
1391000000.0,32300.0,1.7,,,,785.0,457400000.0,
4248000000.0,1100.0,0.5,13.5,23000.0,260000.0,23810.0,136000000.0,3.0
15660000000.0,1600.0,38.0,4.8,18000.0,200000.0,33400.0,500700000.0,5.0
169100000000.0,10700.0,5.8,0.3,1400.0,26000.0,79605.0,22530000000.0,7.8
7262000000000.0,5600.0,9.1,0.1,44000.0,840000.0,1765222.0,552400000000.0,17.1
,,,,,,240.0,,
,,,,,,,,
,,,,,,15.0,,
281100000000.0,6600.0,3.6,0.7,3600.0,190000.0,112998.0,15340000000.0,4.0
441000000.0,700.0,2.0,0.12,,,880.0,88000000.0,-2.0
42740000000.0,700.0,7.5,4.2,100000.0,1100000.0,157000.0,933000000.0,
2324000000.0,800.0,3.7,4.9,9700.0,90000.0,12800.0,749300000.0,0.0
105000000.0,5000.0,7.1,,,,320.0,50700000.0,1.0
37970000000.0,9600.0,3.9,0.6,900.0,12000.0,35303.0,7842000000.0,3.1
24780000000.0,1500.0,-1.0,7.0,47000.0,570000.0,50400.0,3360000000.0,15.0
50330000000.0,11200.0,3.7,0.1,10.0,200.0,28344.0,16700000000.0,2.7
33920000000.0,3000.0,3.0,0.1,200.0,3300.0,60858.0,5296000000.0,1.4
4540000000.0,7135.0,2.6,0.1,,1000.0,13943.0,415200000.0,-0.3
172200000000.0,16800.0,3.7,0.1,10.0,2500.0,127204.0,68190000000.0,4.7
174400000000.0,32200.0,2.1,0.2,100.0,5000.0,71847.0,63450000000.0,1.7
,,,,,,,,
619000000.0,1300.0,3.5,2.9,690.0,9100.0,2890.0,665000000.0,3.0
384000000.0,5500.0,-1.0,,,,780.0,98200000.0,-10.0
55680000000.0,6300.0,1.7,1.7,7900.0,88000.0,12600.0,8093000000.0,2.0
370000000.0,400.0,1.0,,,,3800.0,167000000.0,8.5
49510000000.0,3700.0,5.8,0.3,1700.0,21000.0,43197.0,7650000000.0,10.0
316300000000.0,4200.0,4.5,0.1,700.0,12000.0,64000.0,19210000000.0,2.5
32350000000.0,4900.0,1.8,0.7,2200.0,29000.0,10029.0,5968000000.0,0.7
1270000000.0,2700.0,20.0,3.4,370.0,5900.0,2880.0,1167000000.0,30.0
4154000000.0,900.0,2.5,2.7,6300.0,60000.0,4010.0,622000000.0,
19230000000.0,14300.0,6.0,1.1,200.0,7800.0,55944.0,7318000000.0,5.0
54890000000.0,800.0,11.6,4.4,120000.0,1500000.0,33297.0,2104000000.0,6.7
,,,,,,,,
11650000000000.0,26900.0,2.4,,,,4634810.0,1123000000000.0,2.4
75000000.0,25000.0,,,,,440.0,53000000.0,
1000000000.0,22000.0,10.0,,,,463.0,466000000.0,8.0
5173000000.0,5900.0,3.6,0.1,200.0,600.0,3440.0,835000000.0,
151200000000.0,29000.0,3.0,0.1,100.0,1500.0,78197.0,45170000000.0,2.0
1737000000000.0,28700.0,2.1,0.4,1000.0,120000.0,893100.0,419700000000.0,1.7
1551000000.0,8300.0,,,,,817.0,625000000.0,
4580000000.0,17500.0,,,,,2590.0,1341000000.0,
,,,,,,,,
7966000000.0,5900.0,1.9,8.1,3000.0,48000.0,8464.0,1225000000.0,1.6
2799000000.0,1800.0,6.0,1.2,600.0,6800.0,2700.0,180900000.0,
768000000.0,600.0,4.5,,,,,1900000000.0,
14450000000.0,3100.0,9.5,0.1,200.0,3000.0,20229.0,1806000000.0,3.0
2362000000000.0,28700.0,1.7,0.1,1000.0,43000.0,230735.0,716700000000.0,2.2
48270000000.0,2300.0,5.4,3.1,30000.0,350000.0,46176.0,3699000000.0,3.8
769000000.0,27900.0,,,,,29.0,1743000000.0,
,,,,,,,,
226400000000.0,21300.0,3.7,0.2,100.0,9100.0,117000.0,54280000000.0,4.1
1100000000.0,20000.0,1.8,,,100.0,,445000000.0,
440000000.0,5000.0,2.5,,,,1040.0,208000000.0,0.7
3513000000.0,7900.0,,,,,947.0,1700000000.0,
3200000000.0,21000.0,,,,,977.0,462000000.0,
59470000000.0,4200.0,2.6,1.1,5800.0,78000.0,14118.0,7770000000.0,4.1
2590000000.0,40000.0,3.0,,,,,,
19500000000.0,2100.0,1.0,3.2,9000.0,140000.0,30500.0,641500000.0,3.2
1008000000.0,700.0,2.6,10.0,1200.0,17000.0,4400.0,104000000.0,2.6
2899000000.0,3800.0,1.9,2.5,1100.0,11000.0,7970.0,650100000.0,7.1
12050000000.0,1500.0,-3.5,5.6,24000.0,280000.0,4160.0,1085000000.0,
,,,,,,,,
,,,,,,,,
18790000000.0,2800.0,4.2,1.8,4100.0,63000.0,13603.0,3332000000.0,7.7
