Infant mortality rate(deaths/1000 live births),Inflation rate (consumer prices)(%),Internet hosts,Internet users,Investment (gross fixed)(% of GDP),Labor force,Life expectancy at birth(years),Military expenditures - dollar figure,Military expenditures - percent of GDP(%)
163.07,10.3,,1000.0,,11800000.0,42.9,188400000.0,2.6
,,,,,,,,
21.52,3.2,455.0,30000.0,18.4,1090000.0,77.24,56500000.0,1.49
31.0,3.1,897.0,500000.0,26.2,9910000.0,73.0,2480000000.0,3.2
9.27,,,,,14000.0,75.84,,
4.05,4.3,4144.0,24500.0,,33000.0,83.51,,
191.19,43.8,17.0,41000.0,34.5,5410000.0,36.61,183580000.0,10.6
21.03,2.3,,3000.0,,6049.0,77.11,,
,,,,,,,,
19.46,0.4,1665.0,10000.0,,30000.0,71.9,,
15.18,6.1,742358.0,4100000.0,18.3,15040000.0,75.91,4300000000.0,1.3
23.28,3.5,2206.0,150000.0,19.8,1400000.0,71.55,135000000.0,6.5
5.89,3.2,923.0,24000.0,,41500.0,79.14,,
,,,,,,,,
4.69,2.3,2847763.0,9472000.0,25.3,10350000.0,80.39,1665000000.0,2.7
4.66,1.8,387006.0,3730000.0,22.6,3450000.0,78.92,1497000000.0,0.9
81.74,4.6,586.0,300000.0,65.1,5090000.0,63.35,121000000.0,2.6
25.21,1.2,302.0,84000.0,,156000.0,65.54,,
17.27,2.1,1334.0,195700.0,12.8,370000.0,74.23,628900000.0,6.3
,,,,,,,,
62.6,6.0,1.0,243000.0,23.5,65490000.0,62.08,995300000.0,1.8
12.5,-0.5,204.0,100000.0,,128500.0,71.41,,
,,,,,,,,
13.37,17.4,5308.0,1391900.0,21.8,4305000.0,68.72,176100000.0,1.4
4.68,1.9,166799.0,3400000.0,19.1,4750000.0,78.62,3999000000.0,1.3
25.69,2.9,2613.0,30000.0,33.6,90000.0,67.49,18000000.0,2.0
85.0,2.8,879.0,70000.0,19.3,,50.51,96500000.0,2.4
8.53,3.3,5161.0,34500.0,,37470.0,77.79,4030000.0,0.11
100.44,3.0,985.0,15000.0,,,54.39,13700000.0,1.8
53.11,4.9,7080.0,270000.0,10.4,3800000.0,65.5,132200000.0,1.6
21.05,1.1,6994.0,100000.0,,1026000.0,72.85,234300000.0,4.5
54.58,7.0,1920.0,60000.0,25.5,264000.0,33.87,338500000.0,3.9
,,,,,,,,
29.61,7.6,3163349.0,14300000.0,19.8,89000000.0,71.69,11000000000.0,1.8
,,,,,,,,
18.05,2.5,,4000.0,,12770.0,76.27,,
12.61,0.3,6409.0,35000.0,,158000.0,74.8,290700000.0,5.1
20.55,6.1,53421.0,630000.0,18.6,3398000.0,72.03,356000000.0,2.6
97.57,2.4,442.0,48000.0,29.1,5000000.0,43.92,64200000.0,1.3
67.24,17.2,3.0,28000.0,10.2,27010000.0,56.22,39000000.0,2.1
69.29,8.5,22.0,14000.0,10.7,2990000.0,43.5,38700000.0,6.0
71.48,3.1,818.0,30000.0,20.9,7000000.0,58.87,112000000.0,3.0
68.26,1.0,479.0,60000.0,16.1,6680000.0,47.84,221100000.0,1.6
4.75,1.9,3210081.0,16110000.0,19.4,17370000.0,80.1,9801700000.0,1.1
47.77,1.5,118.0,20400.0,19.2,,70.45,14100000.0,1.5
8.19,2.8,,9909.0,,19820.0,79.95,,
91.0,3.6,6.0,5000.0,,,41.01,15500000.0,1.0
93.82,8.0,8.0,15000.0,24.7,,47.94,101300000.0,2.1
8.8,2.4,202429.0,3575000.0,23.9,6200000.0,76.58,3420000000.0,3.8
24.18,4.1,160421.0,94000000.0,46.0,760800000.0,72.27,67490000000.0,4.3
,,,,,,,,
,,,,,,,,
,,,,,,,,
20.97,5.9,115158.0,2732200.0,15.8,20700000.0,71.72,3300000000.0,3.4
74.93,3.5,11.0,5000.0,,144500.0,61.96,11600000.0,3.0
92.87,14.0,153.0,50000.0,,14510000.0,49.35,93500000.0,1.5
92.41,1.8,46.0,15000.0,25.8,,48.97,126500000.0,2.8
,3.2,,3600.0,,8000.0,,,
9.95,11.5,10826.0,800000.0,19.2,1810000.0,76.84,64200000.0,0.4
90.83,1.4,3795.0,90000.0,11.3,6700000.0,48.62,180200000.0,1.2
6.84,2.5,29644.0,1014000.0,28.6,1710000.0,74.45,620000000.0,2.39
6.33,3.1,1529.0,120000.0,11.2,4550000.0,77.23,572300000.0,1.8
7.18,2.4,5901.0,210000.0,17.9,95025.0,77.65,384000000.0,3.8
3.93,3.2,295677.0,2700000.0,29.0,5250000.0,76.02,2170000000.0,2.02
4.56,1.4,1219925.0,2756000.0,19.8,2870000.0,77.62,3271600000.0,1.5
,,,,,,,,
104.13,2.0,702.0,6500.0,,282000.0,43.1,28600000.0,4.4
14.15,1.0,681.0,12500.0,,25000.0,74.65,,
32.38,55.0,64197.0,500000.0,18.9,,67.26,180000000.0,1.1
47.41,4.0,,,,,65.9,4400000.0,
23.66,2.0,3188.0,569700.0,20.6,4530000.0,76.21,655000000.0,2.2
32.59,9.5,3401.0,2700000.0,15.8,20710000.0,71.0,2440000000.0,3.4
25.1,5.4,4084.0,550000.0,16.6,2750000.0,71.22,157000000.0,1.1
85.13,8.5,3.0,1800.0,50.8,,55.56,126200000.0,2.5
74.87,10.0,1047.0,9500.0,26.3,,52.16,151000000.0,13.4
7.87,3.0,82142.0,444000.0,28.2,660000.0,71.77,155000000.0,2.0
95.32,2.4,9.0,75000.0,17.8,,48.83,337100000.0,4.6
,,,,,,,,
5.2,2.1,22000414.0,206032067.0,19.5,215000000.0,78.2,,
,3.6,,,,1100.0,,,
6.24,5.1,,25000.0,,24250.0,79.21,,
12.62,1.6,493.0,55000.0,,137000.0,69.53,36000000.0,2.2
3.57,0.7,1219173.0,2650000.0,18.3,2660000.0,78.35,1800000000.0,2.0
4.26,2.3,2396761.0,21900000.0,19.2,27700000.0,79.6,45238100000.0,2.6
12.07,1.5,,3200.0,,58800.0,77.09,,
8.44,1.5,5123.0,35000.0,,70000.0,75.9,,
,,,,,,,,
53.64,1.5,93.0,35000.0,21.8,650000.0,55.75,184800000.0,2.0
72.02,7.0,568.0,25000.0,25.3,400000.0,55.2,1000000.0,0.3
22.93,2.2,,60000.0,,725000.0,71.79,,
