Natural gas - consumption(cu m),Natural gas - exports(cu m),Natural gas - imports(cu m),Natural gas - production(cu m),Natural gas - proved reserves(cu m),Oil - consumption(bbl/day),Oil - exports(bbl/day),Oil - imports(bbl/day),Oil - production(bbl/day)
220000000.0,0.0,0.0,220000000.0,49980000000.0,3500.0,,,0.0
,,,,,,,,
30000000.0,0.0,0.0,30000000.0,3316000000.0,7500.0,0.0,5500.0,2000.0
22320000000.0,57980000000.0,0.0,80300000000.0,4739000000000.0,209000.0,,,1200000.0
,,,,,3800.0,,,0.0
,,,,,,,,
530000000.0,0.0,0.0,530000000.0,79570000000.0,31000.0,,,980000.0
,,,,,,,,
,,,,,,,,
,,,,,3600.0,,,0.0
31100000000.0,6050000000.0,0.0,37150000000.0,768000000000.0,486000.0,,,755000.0
1400000000.0,0.0,1400000000.0,0.0,,5700.0,,,0.0
,,,,,6500.0,,,0.0
,,,,,,,,
23330000000.0,9744000000.0,0.0,33080000000.0,2407000000000.0,796500.0,523400.0,530800.0,537500.0
7810000000.0,403000000.0,6033000000.0,1731000000.0,24900000000.0,262400.0,35470.0,262000.0,20670.0
6720000000.0,0.0,1000000000.0,5720000000.0,62300000000.0,140000.0,,,312800.0
,,,,,23000.0,29000.0,,0.0
32700000000.0,0.0,0.0,32700000000.0,46000000000.0,40000.0,,,44000.0
,,,,,,,,
9900000000.0,0.0,0.0,9900000000.0,150300000000.0,71000.0,,,3581.0
29170000.0,0.0,0.0,29170000.0,70790000.0,10900.0,,,1271.0
,,,,,,,,
18800000000.0,0.0,18500000000.0,250000000.0,,285000.0,14500.0,360000.0,36000.0
15500000000.0,0.0,15400000000.0,0.0,,595100.0,450000.0,1042000.0,0.0
,,,,,5000.0,,,0.0
,,,,608800000.0,11500.0,,,700.0
,,,,,4000.0,,,0.0
,,,,,1020.0,,,0.0
1150000000.0,2900000000.0,0.0,8440000000.0,727200000000.0,49000.0,,,39000.0
300000000.0,0.0,300000000.0,0.0,,20000.0,,,0.0
,,,,,16000.0,,,0.0
,,,,,,,,
9590000000.0,0.0,3640000000.0,5950000000.0,221700000000.0,2199000.0,,,1788000.0
,,,,,,,,
,,,,,420.0,,,0.0
1350000000.0,9000000000.0,0.0,10350000000.0,315000000000.0,13000.0,199000.0,,204000.0
5804000000.0,0.0,5800000000.0,4000000.0,3724000000.0,94000.0,,,603.0
,,,,,8000.0,,,0.0
1569000000.0,8424000000.0,0.0,9980000000.0,2460000000000.0,60950.0,3356.0,49230.0,17550.0
,,,,,2750.0,,,0.0
,,,,,7200.0,,,0.0
0.0,0.0,0.0,0.0,55220000000.0,22000.0,,,94000.0
55800000000.0,91520000000.0,8730000000.0,165800000000.0,1691000000000.0,2200000.0,1370000.0,987000.0,3110000.0
,,,,,2000.0,,,0.0
,,,,,2400.0,,,0.0
,,,,,2400.0,,,0.0
,,,,,1500.0,,,200000.0
6517000000.0,0.0,5337000000.0,1180000000.0,99050000000.0,240000.0,0.0,221500.0,18500.0
29180000000.0,0.0,0.0,35000000000.0,2230000000000.0,4956000.0,427800.0,2414000.0,3392000.0
,,,,,,,,
,,,,,,,,
,,,,,,,,
5700000000.0,0.0,0.0,5700000000.0,132000000000.0,252000.0,,,531100.0
,,,,,700.0,,,0.0
,,,,104800000000.0,14000.0,,,24000.0
0.0,0.0,0.0,0.0,495500000.0,5000.0,,,227000.0
,,,,,450.0,,,0.0
,,,,,37000.0,,,0.0
1350000000.0,0.0,0.0,1350000000.0,14870000000.0,32000.0,,,29300.0
2840000000.0,0.0,1080000000.0,1760000000.0,34360000000.0,89000.0,,,21000.0
600000000.0,0.0,0.0,600000000.0,42620000000.0,163000.0,,,77900.0
,,,,,49000.0,,,300.0
9892000000.0,1000000.0,9521000000.0,160000000.0,3057000000.0,175700.0,26670.0,192300.0,7419.0
5280000000.0,3100000000.0,0.0,8380000000.0,81980000000.0,218000.0,332100.0,195000.0,346200.0
,,,,,,,,
,,,,,11300.0,,,0.0
,,,,,600.0,,,0.0
,,,,,129000.0,,129900.0,0.0
,,,,,,,,
160000000.0,0.0,0.0,160000000.0,106500000000.0,129000.0,387000.0,,523000.0
21200000000.0,0.0,0.0,21200000000.0,1264000000000.0,562000.0,,,740000.0
,,,,,39000.0,,,0.0
20000000.0,0.0,0.0,20000000.0,68530000000.0,2000.0,,,350000.0
,,,,,6000.0,,,0.0
1270000000.0,0.0,1270000000.0,0.0,,24000.0,,,5100.0
,,,,12460000000.0,23000.0,,,0.0
,,,,,,,,
467700000000.0,78100000000.0,297800000000.0,242600000000.0,3256000000000.0,14540000.0,5322000.0,15690000.0,2648000.0
,,,,,200.0,,,0.0
,,,,,4500.0,,,0.0
,,,,,5700.0,,,0.0
4557000000.0,0.0,4567000000.0,0.0,,211400.0,101000.0,318300.0,0.0
42010000000.0,1725000000.0,40260000000.0,1898000000.0,12860000000.0,2026000.0,409600.0,2281000.0,34920.0
,,,,,6500.0,,,0.0
,,,,,4750.0,,,0.0
,,,,,,,,
80000000.0,0.0,0.0,80000000.0,66470000000.0,13000.0,,,264900.0
,,,,,1900.0,,,0.0
,,,,,,,,
1160000000.0,0.0,1100000000.0,60000000.0,,31500.0,,,2000.0
99550000000.0,7731000000.0,85020000000.0,21000000000.0,293000000000.0,2891000.0,12990.0,2135000.0,74100.0
,,,,11890000000.0,38000.0,,,7000.0
,,,,,42000.0,,,0.0
,,,,,,,,
2021000000.0,0.0,2018000000.0,35000000.0,254900000.0,405700.0,84720.0,468300.0,5992.0
,,,,,3700.0,,,0.0
,,,,,1000.0,,,0.0
,,,,,13000.0,,,0.0
,,,,,20000.0,,,0.0
,,,,1543000000.0,61000.0,3104.0,,25000.0
,,,,,,,,
,,,,,8600.0,,,0.0
,,,,,2500.0,,,0.0
,,,,,11000.0,,,0.0
,,,,,11000.0,,,0.0
,,,,,,,,
,,,,,,,,
,,,,,29000.0,,,0.0
680900000.0,0.0,680900000.0,,,257000.0,,,0.0
,,,,,,,,
13370000000.0,4000000.0,9587000000.0,3231000000.0,50450000000.0,140700.0,47180.0,136600.0,41190.0
,,,,,16300.0,0.0,15470.0,0.0
22750000000.0,0.0,0.0,22750000000.0,542400000000.0,2130000.0,,,780000.0
55300000000.0,39700000000.0,0.0,77600000000.0,2549000000000.0,1183000.0,518100.0,370500.0,971000.0
72400000000.0,3400000000.0,4920000000.0,79000000000.0,26700000000000.0,1400000.0,2500000.0,,3962000.0
2350000000.0,0.0,0.0,2350000000.0,3149000000000.0,383000.0,1490000.0,,2250000.0
4199000000.0,0.0,3384000000.0,815000000.0,9911000000.0,174400.0,27450.0,178600.0,0.0
10000000.0,0.0,0.0,10000000.0,20810000000.0,260000.0,,,80.0
71180000000.0,61000000.0,54780000000.0,15490000000.0,209700000000.0,1866000.0,456600.0,2158000.0,79460.0
,,,,,66000.0,,,0.0
,,,,,,,,
80420000000.0,0.0,77730000000.0,2519000000.0,20020000000.0,5290000.0,93360.0,5449000.0,17330.0
,,,,,,,,
,,,,,,,,
,,,,,,,,
290000000.0,0.0,0.0,290000000.0,3256000000.0,103000.0,0.0,100000.0,40.0
,,,,,,,,
14300000000.0,11010000000.0,8696000000.0,11600000000.0,1800000000000.0,189400.0,890000.0,47000.0,1200000.0
,,,,,57000.0,,,0.0
,,,,,,,,
,,,,,190.0,,,0.0
,,,,,85000.0,,11500.0,0.0
20920000000.0,0.0,21110000000.0,0.0,,2070000.0,630100.0,2263000.0,0.0
8700000000.0,0.0,0.0,8700000000.0,1548000000000.0,293000.0,1970000.0,,2319000.0
2016000000.0,0.0,2000000000.0,16000000.0,,20000.0,,,2000.0
,,,,,2750.0,,,0.0
1700000000.0,0.0,1700000000.0,0.0,,44000.0,,,0.0
,,,,,107000.0,,,0.0
,,,,,1500.0,,,0.0
,,,,,3100.0,,,0.0
5410000000.0,770000000.0,0.0,6180000000.0,1321000000000.0,216000.0,,,1518000.0
,,,,,,,,
2760000000.0,0.0,2760000000.0,0.0,,72000.0,,,4594.0
865000000.0,0.0,867000000.0,0.0,,50650.0,634.0,50700.0,0.0
,,,,,11190.0,,,0.0
,,,,,22000.0,,,0.0
,,,,0.0,13000.0,,,0.0
,,,,,5400.0,,,0.0
31250000000.0,22410000000.0,0.0,53660000000.0,2230000000000.0,460000.0,230200.0,,785000.0
,,,,,3200.0,,,0.0
,,,,,4000.0,,,0.0
,,,,,20000.0,,,0.0
,,,,,,,,
,,,,,,,,
,,,,,13500.0,,,0.0
,,,,,24000.0,,,0.0
,,,,,21000.0,,,0.0
,,,,,,,,
55100000000.0,0.0,7850000000.0,47300000000.0,420000000000.0,1752000.0,1863000.0,205000.0,3460000.0
,,,,,,,,
,,,,,,,,
2050000000.0,0.0,2050000000.0,0.0,,24000.0,,,0.0
,,,,,,,,
,,,,,11000.0,497.0,11000.0,542.0
,,,,,400.0,,,0.0
50000000.0,0.0,0.0,50000000.0,665400000.0,167000.0,,,1000.0
60000000.0,0.0,0.0,60000000.0,63710000000.0,8500.0,,,0.0
,,,,31150000000.0,13000.0,,,0.0
,,,,,1000.0,,,0.0
,,,,,,,,
,,,,,16000.0,,,0.0
49720000000.0,49280000000.0,20780000000.0,77750000000.0,1693000000000.0,895300.0,1418000.0,2284000.0,46200.0
,,,,,72000.0,,,0.0
,,,,,8750.0,,,0.0
6504000000.0,0.0,0.0,6504000000.0,58940000000.0,132700.0,30220.0,119700.0,42160.0
,,,,,25770.0,738.0,27950.0,0.0
,,,,,5000.0,,,0.0
7850000000.0,7830000000.0,0.0,15680000000.0,4007000000000.0,275000.0,,,2356000.0
,,,,,20.0,,,0.0
,,,,,,,,
,,,,,,,,
4100000000.0,50500000000.0,0.0,54600000000.0,1716000000000.0,171100.0,3466000.0,88870.0,3310000.0
6340000000.0,7430000000.0,0.0,13770000000.0,829700000000.0,54000.0,721000.0,,775000.0
23400000000.0,0.0,0.0,23400000000.0,695600000000.0,365000.0,,,61000.0
,,,,,,,,
,,,,,,,,
,,,,,40520.0,,,0.0
110000000.0,0.0,0.0,110000000.0,385500000000.0,15000.0,,,46200.0
,,,,,25000.0,,,0.0
910000000.0,0.0,0.0,910000000.0,245100000000.0,161000.0,49000.0,,95500.0
25000000.0,0.0,0.0,2500000.0,107600000000.0,338000.0,0.0,312000.0,26000.0
,,,,,,,,
13850000000.0,41000000.0,8782000000.0,5471000000.0,154400000000.0,424100.0,53000.0,413700.0,17180.0
2542000000.0,0.0,2553000000.0,0.0,,339800.0,28830.0,357300.0,0.0
630000000.0,0.0,630000000.0,0.0,,190000.0,,,0.0
15860000000.0,18200000000.0,0.0,32400000000.0,14410000000000.0,30000.0,,,790000.0
,,,,,18000.0,,,0.0
18500000000.0,0.0,5400000000.0,12600000000.0,111100000000.0,253800.0,,,128000.0
405800000000.0,171000000000.0,32700000000.0,578600000000.0,47000000000000.0,2310000.0,6110000.0,,8420000.0
,,,,28320000000.0,5300.0,,,0.0
,,,,,200.0,,,0.0
,,,,,710.0,,,0.0
,,,,,2400.0,,,0.0
,,,,,600.0,,,0.0
,,,,,1250.0,,,0.0
,,,,,1000.0,,,0.0
,,,,,,,,
,,,,,700.0,,,0.0
56400000000.0,0.0,0.0,56400000000.0,6339000000000.0,1550000.0,7920000.0,0.0,9021000.0
50000000.0,0.0,0.0,50000000.0,,31000.0,,,0.0
602000000.0,0.0,0.0,602000000.0,24070000000.0,64000.0,,,15000.0
,,,,,4000.0,,,0.0
,,,,,6500.0,,,0.0
2500000000.0,0.0,2500000000.0,0.0,,700000.0,,,0.0
6800000000.0,0.0,6600000000.0,190000000.0,7504000000.0,82000.0,,,1000.0
1040000000.0,0.0,1040000000.0,0.0,,53300.0,,,20.0
,,,,,1250.0,,,0.0
,,,,2832000000.0,4000.0,,,0.0
1800000000.0,0.0,0.0,1800000000.0,14160000000.0,460000.0,,,196200.0
,,,,,,,,
17960000000.0,0.0,17260000000.0,516000000.0,254900000.0,1497000.0,135100.0,1582000.0,7099.0
,,,,,,,,
,,,,,75000.0,,,0.0
,,,,99110000000.0,70000.0,275000.0,0.0,345000.0
,,,,0.0,14000.0,1370.0,1644.0,12000.0
,,,,,,,,
,,,,,3500.0,,,0.0
949000000.0,0.0,968000000.0,0.0,,328600.0,203700.0,553100.0,0.0
3093000000.0,0.0,3093000000.0,0.0,,290400.0,10420.0,289500.0,0.0
5840000000.0,0.0,0.0,5840000000.0,240700000000.0,240000.0,285000.0,,525000.0
6640000000.0,410000000.0,6300000000.0,750000000.0,38230000000.0,988000.0,,,500.0
1300000000.0,0.0,1250000000.0,50000000.0,,20000.0,,,250.0
,,,,11330000000.0,17000.0,,,0.0
23930000000.0,0.0,5200000000.0,18730000000.0,368200000000.0,785000.0,,,225000.0
,,,,,10000.0,,,0.0
,,,,,,,,
,,,,,1000.0,,,0.0
13760000000.0,11790000000.0,0.0,25000000000.0,589000000000.0,24000.0,,,140000.0
,,,,,,,,
3830000000.0,0.0,1580000000.0,2250000000.0,77160000000.0,87000.0,,,72580.0
15940000000.0,0.0,15750000000.0,312000000.0,8685000000.0,619500.0,46110.0,616500.0,48000.0
9600000000.0,43500000000.0,0.0,58570000000.0,1430000000000.0,63000.0,,,162500.0
,,,,,0.0,,,0.0
,,,,,,,,
,,,,,8750.0,,,0.0
79860000000.0,5800000000.0,60400000000.0,19600000000.0,560700000000.0,303000.0,,,72000.0
33700000000.0,7190000000.0,0.0,44400000000.0,6060000000000.0,310000.0,2500000.0,0.0,2335000.0
92850000000.0,15750000000.0,2700000000.0,105900000000.0,714900000000.0,1692000.0,1498000.0,1084000.0,1957000.0
640900000000.0,11160000000.0,114100000000.0,548100000000.0,5195000000000.0,19650000.0,,,7800000.0
64500000.0,0.0,65000000.0,0.0,,41500.0,,,0.0
45200000000.0,17900000000.0,0.0,63100000000.0,937300000000.0,142000.0,,,143300.0
,,,,,600.0,,,0.0
29400000000.0,0.0,0.0,29400000000.0,4190000000000.0,500000.0,2100000.0,,2600000.0
1300000000.0,0.0,0.0,1300000000.0,192600000000.0,185000.0,,,359400.0
,,,,,66000.0,,,0.0
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,1800.0,,,0.0
0.0,0.0,0.0,0.0,480000000000.0,78000.0,370300.0,,417500.0
,,,,,11000.0,,,0.0
,,,,,23000.0,,,0.0
