Oil - proved reserves(bbl),Population,Public debt(% of GDP),Railways(km),Reserves of foreign exchange & gold,Telephones - main lines in use,Telephones - mobile cellular,Total fertility rate(children born/woman),Unemployment rate(%)
0.0,29928987.0,,,,33100.0,15000.0,6.75,
,,,,,,,,
185500000.0,3563112.0,,447.0,1206000000.0,255000.0,1100000.0,2.04,14.8
11870000000.0,32531853.0,37.4,3973.0,43550000000.0,2199600.0,1447310.0,1.92,25.4
,57881.0,,,,15000.0,2377.0,3.25,6.0
,70549.0,,,,35000.0,23500.0,1.29,0.0
22880000000.0,11190786.0,,2761.0,800000000.0,96300.0,130000.0,6.27,
,13254.0,,,,6200.0,1800.0,1.73,8.0
,,,,,0.0,,,
,68722.0,,,,38000.0,38200.0,2.26,11.0
2900000000.0,39537943.0,118.0,34091.0,19470000000.0,8009400.0,6500000.0,2.19,14.8
,2982904.0,,845.0,555000000.0,562600.0,114400.0,1.32,30.0
,71566.0,,,,37100.0,53000.0,1.79,0.6
,,,,,,,,
3664000000.0,20090437.0,17.4,43802.0,35140000000.0,10815000.0,14347000.0,1.76,5.1
85690000.0,8184691.0,64.2,6021.0,12730000000.0,3881000.0,7094500.0,1.36,4.4
589000000.0,7911974.0,18.9,2957.0,875000000.0,923800.0,870000.0,2.44,1.2
,301790.0,,,,131700.0,121800.0,2.2,10.2
126000000.0,688345.0,63.8,,2141000000.0,185800.0,443100.0,2.63,15.0
,,,,,,,,
28450000.0,144319628.0,43.0,2706.0,3000000000.0,740000.0,1365000.0,3.13,40.0
1254000.0,279254.0,,,,134000.0,140000.0,1.65,10.7
,,,,,,,,
,10300483.0,,5523.0,770200000.0,3071300.0,1118000.0,1.39,2.0
,10364388.0,96.2,3518.0,14450000000.0,5120400.0,8135500.0,1.64,12.0
,279457.0,,,111100000.0,33300.0,60400.0,3.68,12.9
4105000.0,7460025.0,,578.0,839300000.0,66500.0,236200.0,5.86,
,65365.0,,,,56000.0,37873.0,1.89,5.0
,2232291.0,,,,25200.0,22000.0,4.81,
458800000.0,8857870.0,,3519.0,1214000000.0,600100.0,1401500.0,2.94,9.2
,4025476.0,,1021.0,2000000000.0,938000.0,1050000.0,1.71,44.0
,1640115.0,8.6,888.0,5700000000.0,142400.0,435000.0,2.85,23.8
,,,,,,,,
13900000000.0,186112794.0,52.0,29412.0,52940000000.0,38810000.0,46373300.0,1.93,11.5
,,,,,,,,
,22643.0,,,,11700.0,8000.0,1.72,3.0
1255000000.0,372361.0,,,,90000.0,137000.0,2.3,3.2
8100000.0,7450349.0,41.9,4294.0,7526000000.0,2868200.0,2597500.0,1.38,12.7
,13925313.0,,622.0,474900000.0,65400.0,227000.0,6.23,
3200000000.0,42909464.0,,3955.0,590000000.0,357300.0,66500.0,2.01,5.2
,6370609.0,,,76890000.0,23900.0,64000.0,5.81,
,13607069.0,,602.0,997500000.0,35400.0,380000.0,3.44,2.5
80000000.0,16380005.0,69.1,1008.0,687500000.0,110900.0,1077000.0,4.47,30.0
178900000000.0,32805041.0,,48909.0,36270000000.0,19950900.0,13221800.0,1.61,7.0
,418224.0,,,112700000.0,71700.0,53300.0,3.48,21.0
,44270.0,,,,38000.0,17000.0,1.9,4.1
,3799897.0,,,,9000.0,13000.0,4.5,8.0
,9826419.0,,,652700000.0,11800.0,65000.0,6.32,
150000000.0,15980912.0,12.8,6585.0,16020000000.0,3467000.0,6445700.0,2.02,8.5
17740000000.0,1306313812.0,31.4,70058.0,609900000000.0,263000000.0,269000000.0,1.72,9.8
,361.0,,,,,,,
,,,,,,,,
,628.0,,,,287.0,,,60.0
1700000000.0,42954279.0,51.8,3304.0,11940000000.0,8768100.0,6186200.0,2.56,13.6
,671247.0,,,,13200.0,2000.0,5.09,20.0
1538000000.0,60085804.0,,5138.0,,10000.0,1000000.0,6.54,
93500000.0,3039126.0,,894.0,40420000.0,7000.0,330000.0,3.54,
,21388.0,,,,6200.0,1500.0,,13.0
,4016173.0,58.0,950.0,1736000000.0,1132000.0,528047.0,2.28,6.6
220000000.0,17298040.0,74.8,660.0,1950000000.0,328000.0,1236000.0,4.58,13.0
93600000.0,4495904.0,41.7,2726.0,8563000000.0,1825000.0,2553000.0,1.39,13.8
532000000.0,11346670.0,,4226.0,738600000.0,574400.0,17900.0,1.66,2.5
,780133.0,74.9,,941600000.0,86228.0,143178.0,1.83,3.2
17250000.0,10241138.0,33.5,9520.0,32780000000.0,3626000.0,9708700.0,1.2,10.6
1230000000.0,5432335.0,42.5,3002.0,37980000000.0,3610100.0,4785300.0,1.74,6.2
,,,,,,,,
,476703.0,,100.0,,9500.0,23000.0,5.4,50.0
,69029.0,,,,23700.0,9400.0,1.96,23.0
,8950034.0,61.1,1743.0,426000000.0,901800.0,2120400.0,2.86,17.0
